Identifier,totalProfitPercent,averageHoldingMins,7dUSDProfit,30dUSDProfit,winrate_7d,tags,sol_balance,directLink,buy_7d
DYkwVoWmbJR6N68n8sKJc3mFcA587gw44dm9btsNjaiQ,11.99%,165.55h,"$91,530.46","$126,360.52",66.67%,['photon'],430.40,https://gmgn.ai/sol/address/DYkwVoWmbJR6N68n8sKJc3mFcA587gw44dm9btsNjaiQ,134
CNudZYFgpbT26fidsiNrWfHeGTBMMeVWqruZXsEkcUPc,57.50%,518.97h,"$2,074.57","$288,525.25",50.00%,['trojan'],396.26,https://gmgn.ai/sol/address/CNudZYFgpbT26fidsiNrWfHeGTBMMeVWqruZXsEkcUPc,15
Fh3kfdQGDwzpiiME3X3h6dsbayd3ufrfP3GrdmJ7LKJT,9.59%,63.17h,"$50,554.51","$85,871.97",22.22%,['gmgn'],40.46,https://gmgn.ai/sol/address/Fh3kfdQGDwzpiiME3X3h6dsbayd3ufrfP3GrdmJ7LKJT,61
2HWT2KLLdN2wxYTqdSuko5SBzg2SEJASgV4GE2tD7TML,-1.06%,3.76h,"$-4,610.12","$69,286.16",32.20%,['trojan'],29.61,https://gmgn.ai/sol/address/2HWT2KLLdN2wxYTqdSuko5SBzg2SEJASgV4GE2tD7TML,81
BC8yiFFQWFEKrEEj75zYsuK3ZDCfv6QEeMRif9oZZ9TW,-4.15%,161.43h,"$-38,139.46","$20,210.90",43.48%,[],0.32,https://gmgn.ai/sol/address/BC8yiFFQWFEKrEEj75zYsuK3ZDCfv6QEeMRif9oZZ9TW,91
HetnuaUUbBjFCx5wFYoiQuTRmDFKbEwqj1z4MsEJ1jYf,33.89%,2.23h,"$57,716.74","$168,333.19",80.74%,['photon'],1404.08,https://gmgn.ai/sol/address/HetnuaUUbBjFCx5wFYoiQuTRmDFKbEwqj1z4MsEJ1jYf,429
Cogv5PSB1sPp5j9zxm73kd7RJsEo2Hf3e1TfUmXCfXku,33.01%,11.12h,$-47.27,"$117,343.60",36.00%,['photon'],209.90,https://gmgn.ai/sol/address/Cogv5PSB1sPp5j9zxm73kd7RJsEo2Hf3e1TfUmXCfXku,165
6pAHfTRLLPxYz4d4Z8qPxPkHyj2m5AhooAF7t8ToLJ7m,34.71%,64.52h,"$49,785.62","$184,457.42",27.27%,['axiom'],649.69,https://gmgn.ai/sol/address/6pAHfTRLLPxYz4d4Z8qPxPkHyj2m5AhooAF7t8ToLJ7m,44
BCnqsPEtA1TkgednYEebRpkmwFRJDCjMQcKZMMtEdArc,35.11%,19.87h,"$5,213.86","$209,430.40",47.97%,"['kol', 'axiom', 'photon']",320.81,https://gmgn.ai/sol/address/BCnqsPEtA1TkgednYEebRpkmwFRJDCjMQcKZMMtEdArc,139
GJA1HEbxGnqBhBifH9uQauzXSB53to5rhDrzmKxhSU65,19.42%,5.17h,"$55,130.88","$185,760.03",50.24%,"['kol', 'photon']",39.12,https://gmgn.ai/sol/address/GJA1HEbxGnqBhBifH9uQauzXSB53to5rhDrzmKxhSU65,772
9FNz4MjPUmnJqTf6yEDbL1D4SsHVh7uA8zRHhR5K138r,20.99%,8.13m,"$-1,102.52","$178,758.97",50.66%,"['kol', 'axiom', 'photon']",692.88,https://gmgn.ai/sol/address/9FNz4MjPUmnJqTf6yEDbL1D4SsHVh7uA8zRHhR5K138r,348
FBrRa74zUVJ4uvZK3XMbkUSUFTNTVjKBbHN1koVW43U6,18.64%,55.54h,"$1,290.98","$71,824.17",40.00%,[],0.77,https://gmgn.ai/sol/address/FBrRa74zUVJ4uvZK3XMbkUSUFTNTVjKBbHN1koVW43U6,53
HdxkiXqeN6qpK2YbG51W23QSWj3Yygc1eEk2zwmKJExp,39.18%,45.62h,"$114,638.83","$223,698.28",66.39%,['trojan'],9.75,https://gmgn.ai/sol/address/HdxkiXqeN6qpK2YbG51W23QSWj3Yygc1eEk2zwmKJExp,315
8rvAsDKeAcEjEkiZMug9k8v1y8mW6gQQiMobd89Uy7qR,3.87%,52.86m,$-610.16,"$60,681.35",40.48%,"['kol', 'axiom', 'bullx', 'trojan']",54.10,https://gmgn.ai/sol/address/8rvAsDKeAcEjEkiZMug9k8v1y8mW6gQQiMobd89Uy7qR,1880
6neoWX8Ak3wTHdFkbE487gfiK8gPnMmKWMNq9n2vzzvL,48.58%,40.66h,"$23,209.96","$130,421.32",60.00%,"['axiom', 'photon', 'trojan']",599.87,https://gmgn.ai/sol/address/6neoWX8Ak3wTHdFkbE487gfiK8gPnMmKWMNq9n2vzzvL,28
GwyG5FQRNtY1faXYWdTLbcDNZTyW5d2Z63o1UiMUDQDT,0.10%,211.60h,"$189,408.79","$271,998.23",50.00%,['gmgn'],100.25,https://gmgn.ai/sol/address/GwyG5FQRNtY1faXYWdTLbcDNZTyW5d2Z63o1UiMUDQDT,125
2iCmwtaM14u5XijJ6Wx6pbxSqvvPbvzUVXAhk1B4aEtr,17.05%,0s,$0.00,"$226,356.74",?,"['photon', 'trojan']",1240.70,https://gmgn.ai/sol/address/2iCmwtaM14u5XijJ6Wx6pbxSqvvPbvzUVXAhk1B4aEtr,0
