Identifier,totalProfitPercent,averageHoldingMins,7dUSDProfit,30dUSDProfit,winrate_7d,tags,sol_balance,directLink,buy_7d
BHFSq9MXbqVoaTaRPqvtN2taYKqbx5p8yH929HW359Bk,818.41%,0s,$0.00,"$60,351.45",?,[],0.00,https://gmgn.ai/sol/address/BHFSq9MXbqVoaTaRPqvtN2taYKqbx5p8yH929HW359Bk,0
BMLAmP5RPcDVGGRSi9144qg1vaZMvaTFCQsVEemQzHBo,4.98%,?,"$82,528.74","$82,528.74",?,[],0.20,https://gmgn.ai/sol/address/BMLAmP5RPcDVGGRSi9144qg1vaZMvaTFCQsVEemQzHBo,37
BMeiMwbZkrniyggyBbfThFwbxcvDT9dLr32xvUP3u3my,-4.94%,626.51h,"$-5,962.53","$39,631.27",58.49%,"['bullx', 'bluechip_owner']",96.93,https://gmgn.ai/sol/address/BMeiMwbZkrniyggyBbfThFwbxcvDT9dLr32xvUP3u3my,435
BVwd2ipUfE9cUQ3Uut8Qs7iN2D4YfofvxX9H8tfgocLV,4.65%,187.23h,"$18,233.33","$21,141.84",66.67%,[],0.40,https://gmgn.ai/sol/address/BVwd2ipUfE9cUQ3Uut8Qs7iN2D4YfofvxX9H8tfgocLV,8
BWremY83XuG7uXiVoTdTDQooLJu2AFJduVFhxPJw9m7a,3.06%,210.08h,"$-18,716.63","$36,563.50",0.00%,[],0.55,https://gmgn.ai/sol/address/BWremY83XuG7uXiVoTdTDQooLJu2AFJduVFhxPJw9m7a,24
BdwaRTosamDi2Ye9Qr3bjixTfzBjBKf7RHHRWuCypTA5,6.30%,0s,$0.00,"$-9,435.11",?,[],0.17,https://gmgn.ai/sol/address/BdwaRTosamDi2Ye9Qr3bjixTfzBjBKf7RHHRWuCypTA5,0
BfqxcFEZcMoVuR7UqevUAJR99hnU6yvaconoPhQpa7YN,0.95%,13.32h,"$-40,981.85","$-11,399.75",66.67%,[],0.10,https://gmgn.ai/sol/address/BfqxcFEZcMoVuR7UqevUAJR99hnU6yvaconoPhQpa7YN,344
BvtWgmq2tDSaBWzaDrbsWi4dMv5aBkkyWxrigX8887ji,9.21%,235.39h,"$-11,473.90","$-67,553.02",25.00%,['trojan'],0.11,https://gmgn.ai/sol/address/BvtWgmq2tDSaBWzaDrbsWi4dMv5aBkkyWxrigX8887ji,114
Bw4923BxZJcwDiLSDABd37K9h5TF2ZkiHEsxTVw26Aa5,-11.76%,?,$0.00,"$-20,607.41",?,['gmgn'],17.28,https://gmgn.ai/sol/address/Bw4923BxZJcwDiLSDABd37K9h5TF2ZkiHEsxTVw26Aa5,0
C77bxLHWjnAVeG9HdMxu1gunFnjRCcWUDZYfa7xbacHr,2.66%,?,"$21,761.80","$199,196.48",?,[],10.86,https://gmgn.ai/sol/address/C77bxLHWjnAVeG9HdMxu1gunFnjRCcWUDZYfa7xbacHr,32
CEreAfejrV3dwru5TV5aVUeK4yxWm8BNeVVSvpDTUXbX,6.45%,0s,$0.00,"$26,572.38",?,[],0.25,https://gmgn.ai/sol/address/CEreAfejrV3dwru5TV5aVUeK4yxWm8BNeVVSvpDTUXbX,0
Bw8Fn1truQMRo77JqzWyyfYup9psPsyPe7zcJ6PGnZNc,76.06%,107.95h,$282.72,"$2,595.84",50.00%,['bluechip_owner'],239.78,https://gmgn.ai/sol/address/Bw8Fn1truQMRo77JqzWyyfYup9psPsyPe7zcJ6PGnZNc,8
CF6RGQHx9V71sUnkN6TYeTXb8AHHhg3tT8cqf8mThPnM,1.55%,10.40h,"$6,758.40","$14,043.65",80.30%,[],0.01,https://gmgn.ai/sol/address/CF6RGQHx9V71sUnkN6TYeTXb8AHHhg3tT8cqf8mThPnM,226
CLgrwY2bMfc9DAjDt5tkxqdCm3EZcS29MsEKk2EHZsbP,3.38%,0s,$0.00,$-358.53,?,[],1.15,https://gmgn.ai/sol/address/CLgrwY2bMfc9DAjDt5tkxqdCm3EZcS29MsEKk2EHZsbP,0
Ctjk6aiH9rFpPejjfbUEVZi9FJZwg8ygT97QQoHGTYqo,66.71%,?,"$-5,200.67","$113,592.97",?,['axiom'],1929.65,https://gmgn.ai/sol/address/Ctjk6aiH9rFpPejjfbUEVZi9FJZwg8ygT97QQoHGTYqo,6
CSFfYhDasgbVVVEb4Ripp8rgdhdH4sBJ5ZuXdBAuNNzA,1.93%,24.94h,"$-2,073.80","$29,929.43",60.00%,['gmgn'],25.73,https://gmgn.ai/sol/address/CSFfYhDasgbVVVEb4Ripp8rgdhdH4sBJ5ZuXdBAuNNzA,212
CTDyse6GQJUfGH5xajWVghHynoPeGA2y29NRk6kgvKuw,2558.91%,0s,$0.00,"$91,531.12",?,[],0.00,https://gmgn.ai/sol/address/CTDyse6GQJUfGH5xajWVghHynoPeGA2y29NRk6kgvKuw,0
CvGgoUiELpSceMBLE1gK4LZFwSW3J4CcMcErNFSyrsvW,1.04%,109.39h,"$1,057.38","$23,721.98",29.03%,[],2.51,https://gmgn.ai/sol/address/CvGgoUiELpSceMBLE1gK4LZFwSW3J4CcMcErNFSyrsvW,588
D4LwsVXP9dLtwtJz7rFZvFbinKTDUuqP68zePmB3ei18,-22.12%,163.64h,$0.00,"$-51,001.07",?,[],0.00,https://gmgn.ai/sol/address/D4LwsVXP9dLtwtJz7rFZvFbinKTDUuqP68zePmB3ei18,2
DFzFg8VCgj81vieiQZ27ushwXAHTGCZ6srSizKxqkHa,7.76%,2.04h,"$3,236.69","$18,653.92",58.82%,['photon'],345.08,https://gmgn.ai/sol/address/DFzFg8VCgj81vieiQZ27ushwXAHTGCZ6srSizKxqkHa,63
DKwB863saQhNK38BfHpAjpy7AFVju4WrHRVaaRuT7UBu,301.59%,0s,$0.00,"$4,774.31",?,[],83.60,https://gmgn.ai/sol/address/DKwB863saQhNK38BfHpAjpy7AFVju4WrHRVaaRuT7UBu,0
DQTtSAycBE1piBmM9Hs8C4mJo2YRMsqG77L2yhXaJEGo,4.14%,216.99h,"$-14,938.32","$-8,593.76",0.00%,[],0.00,https://gmgn.ai/sol/address/DQTtSAycBE1piBmM9Hs8C4mJo2YRMsqG77L2yhXaJEGo,13
DR4qzfU3QPGSBzJWvtSbDpjp5p5D7XT7Eghujhy14Ae9,3.44%,50.16m,"$5,458.02","$4,528.11",80.00%,['photon'],360.36,https://gmgn.ai/sol/address/DR4qzfU3QPGSBzJWvtSbDpjp5p5D7XT7Eghujhy14Ae9,68
DTdHa4auX68jFtXv9wkzMYCahg295AnRuwvm6moW6meZ,5.75%,13.10h,"$6,537.73","$15,639.92",46.15%,['bullx'],66.00,https://gmgn.ai/sol/address/DTdHa4auX68jFtXv9wkzMYCahg295AnRuwvm6moW6meZ,92
DU8W6ritu6LuDm6DFkVtrtVyW8KEruMhHagvjxg4DRys,5.06%,3742.84h,"$-1,505.62","$-4,205.16",48.84%,['bluechip_owner'],10.46,https://gmgn.ai/sol/address/DU8W6ritu6LuDm6DFkVtrtVyW8KEruMhHagvjxg4DRys,242
DWPajfoT32mwYeQTpJLbEHtxwx5BJumSiNMoNkpfasaJ,17.52%,72.58h,"$-34,892.64","$3,367.76",50.00%,[],322.84,https://gmgn.ai/sol/address/DWPajfoT32mwYeQTpJLbEHtxwx5BJumSiNMoNkpfasaJ,22
DogKbap8voKSGhVVuTYMy22Lnv3deMG1vqJpUGs7BPEp,6.45%,0s,$0.00,$-63.97,?,['photon'],12.03,https://gmgn.ai/sol/address/DogKbap8voKSGhVVuTYMy22Lnv3deMG1vqJpUGs7BPEp,0
DszdVmXqsJh1fgbY3kKZpTBuYBCBBsigHgjutps3uBQd,76.52%,20.10h,$547.08,"$5,198.82",66.67%,[],0.32,https://gmgn.ai/sol/address/DszdVmXqsJh1fgbY3kKZpTBuYBCBBsigHgjutps3uBQd,26
DyNksuu7J2yaiLq1PQntyTCgaic2Y4xzLRGZyCyS9Qfi,7.88%,0s,$0.00,"$16,990.62",?,['gmgn'],705.62,https://gmgn.ai/sol/address/DyNksuu7J2yaiLq1PQntyTCgaic2Y4xzLRGZyCyS9Qfi,1
E4VymWUgLt4riTqMK4qVRjcvC1rzUveZh2WL6bjCt84q,0.35%,?,"$9,922.10","$34,603.14",?,[],0.00,https://gmgn.ai/sol/address/E4VymWUgLt4riTqMK4qVRjcvC1rzUveZh2WL6bjCt84q,117
EBfejGMSDQiHnCv8iYj9MwBK1ZaApMeqhTXDmiiBuCk7,1632.27%,0s,$0.00,"$76,888.01",?,[],0.00,https://gmgn.ai/sol/address/EBfejGMSDQiHnCv8iYj9MwBK1ZaApMeqhTXDmiiBuCk7,0
Dshd9vp9Z2qKRu6MV39pgGtXTXnMpCXSVaVdjbSytnjo,64.10%,0s,$0.00,"$77,831.63",?,[],0.00,https://gmgn.ai/sol/address/Dshd9vp9Z2qKRu6MV39pgGtXTXnMpCXSVaVdjbSytnjo,0
EHXRqrpttvDLXxsgvav5mHQ8RX7pcUZd2nCzystxmYGe,11.98%,588.21h,"$21,368.10","$97,928.71",92.31%,['axiom'],17.77,https://gmgn.ai/sol/address/EHXRqrpttvDLXxsgvav5mHQ8RX7pcUZd2nCzystxmYGe,99
ELiZM1ZKTWUoNYABoCXphDMEbdFoGbGd7PiptJmyt5nu,35.32%,0s,$0.00,"$49,121.44",?,['trojan'],0.01,https://gmgn.ai/sol/address/ELiZM1ZKTWUoNYABoCXphDMEbdFoGbGd7PiptJmyt5nu,0
ERDwzNb2vZ3VfPrNEiBMXC5E1EqtwFNfVjB142DSyn4U,-4.78%,517.42h,$0.20,"$-121,886.15",33.33%,[],0.07,https://gmgn.ai/sol/address/ERDwzNb2vZ3VfPrNEiBMXC5E1EqtwFNfVjB142DSyn4U,3
ERgtHKpakjFBtcgrh4abzpqFCQKsMdM7QXdE1sfafrWU,14.54%,127.69h,"$6,409.41","$-14,164.66",85.00%,['trojan'],65.72,https://gmgn.ai/sol/address/ERgtHKpakjFBtcgrh4abzpqFCQKsMdM7QXdE1sfafrWU,89
EZpRjwN5p9s7qtN91CU3RjgQcdKX2hsytonfxyXkm6Ag,-14.06%,59.93h,"$-28,045.62","$-62,281.02",0.00%,['photon'],59.15,https://gmgn.ai/sol/address/EZpRjwN5p9s7qtN91CU3RjgQcdKX2hsytonfxyXkm6Ag,25
EeUFfHXrURNq9szYjHWt7YC7iVsJxKhhcnFXS8cwf5HC,5.79%,?,"$-4,848.56","$30,620.00",?,[],0.87,https://gmgn.ai/sol/address/EeUFfHXrURNq9szYjHWt7YC7iVsJxKhhcnFXS8cwf5HC,28
ExbKNUwVtyRjrJMPLnVWRus9BxTRpt6BRXWxGYTyfcYS,76.15%,4.33h,$-883.60,"$14,595.53",44.00%,['photon'],399.17,https://gmgn.ai/sol/address/ExbKNUwVtyRjrJMPLnVWRus9BxTRpt6BRXWxGYTyfcYS,46
FXzJ6xwH2HfdKshERVAYiLh79PAUw9zC7ucngupt91ap,18.54%,56.81h,$739.27,"$7,977.41",25.00%,[],17.55,https://gmgn.ai/sol/address/FXzJ6xwH2HfdKshERVAYiLh79PAUw9zC7ucngupt91ap,7
FgdJxnHRpX3aCy1Jfc37kQfv51cxTwYBeXRgY5DfaqKK,7.49%,144.80h,$994.72,"$22,657.92",58.33%,['trojan'],94.55,https://gmgn.ai/sol/address/FgdJxnHRpX3aCy1Jfc37kQfv51cxTwYBeXRgY5DfaqKK,31
Fj8RoUF6qWB8jk4RZ8g9KeffN2wUKaxrEmLB239JcacE,7.84%,64.13h,"$21,613.13","$53,895.72",80.00%,['gmgn'],0.01,https://gmgn.ai/sol/address/Fj8RoUF6qWB8jk4RZ8g9KeffN2wUKaxrEmLB239JcacE,38
FkHewnN1Z1NkvcvYM45kRtcDtsPPS33CqiV9fMMZ5GnN,16.75%,0s,$0.00,"$101,234.54",?,[],0.00,https://gmgn.ai/sol/address/FkHewnN1Z1NkvcvYM45kRtcDtsPPS33CqiV9fMMZ5GnN,0
FraRufhoiGNzinAvPRJ7GKPsWVHGtUfxXhzNDkuR9cUB,3.07%,264.68h,$-724.47,"$15,777.13",66.67%,[],0.10,https://gmgn.ai/sol/address/FraRufhoiGNzinAvPRJ7GKPsWVHGtUfxXhzNDkuR9cUB,10
G1TVaxpCJLnYXYBbi5rj2izPKzZJdiUvpFcBPU587oC,3.34%,1275.28h,$125.40,"$21,821.22",38.10%,[],2.02,https://gmgn.ai/sol/address/G1TVaxpCJLnYXYBbi5rj2izPKzZJdiUvpFcBPU587oC,944
GD32KhxLkqoG7YtPN9CweUgq5Ws2RhdhHS8MYJbh78Dy,16.51%,2.16h,"$65,550.13","$259,296.24",90.32%,"['axiom', 'bullx']",195.68,https://gmgn.ai/sol/address/GD32KhxLkqoG7YtPN9CweUgq5Ws2RhdhHS8MYJbh78Dy,731
FzqqW5wQS8DBVqJb7p2WwBDsqbK51hbRcTPb7B4RwF3Q,30.63%,523.85h,"$-6,347.96","$42,215.28",50.00%,[],108.52,https://gmgn.ai/sol/address/FzqqW5wQS8DBVqJb7p2WwBDsqbK51hbRcTPb7B4RwF3Q,1
G6mruXBR4UZXnUHMSMciJZYa6pg1F8GjsEHePxtUxj4m,-11.29%,?,"$-19,857.79","$65,079.77",?,[],0.96,https://gmgn.ai/sol/address/G6mruXBR4UZXnUHMSMciJZYa6pg1F8GjsEHePxtUxj4m,14
GE1cTQ9XcCGn9XvpH7i5FnAoKyTeGnxgD1TH3SdXjjj,12.51%,347.40h,"$1,682.28","$26,793.04",70.00%,[],1.05,https://gmgn.ai/sol/address/GE1cTQ9XcCGn9XvpH7i5FnAoKyTeGnxgD1TH3SdXjjj,40
GLEaHd9kN4TjD6x5vpydsMEy8AMXsHnLsR24aeSGU752,1.57%,138.90h,"$7,507.66","$-56,481.59",53.33%,[],0.66,https://gmgn.ai/sol/address/GLEaHd9kN4TjD6x5vpydsMEy8AMXsHnLsR24aeSGU752,121
GLkEcKTJG2EVAkbSpesQWBpAGv1jGJDpLPxTa4Fo1KKX,64.54%,248.82h,"$16,832.76","$47,333.35",25.00%,['axiom'],261.82,https://gmgn.ai/sol/address/GLkEcKTJG2EVAkbSpesQWBpAGv1jGJDpLPxTa4Fo1KKX,6
GVHtz1FhFg6xuVeVLGkpNHgdg8jrwMdZ3YaEGZmkPa2d,-0.35%,462.30h,$-143.38,"$1,609.88",31.71%,[],0.09,https://gmgn.ai/sol/address/GVHtz1FhFg6xuVeVLGkpNHgdg8jrwMdZ3YaEGZmkPa2d,83
GbgDhshF6gXmheTfYU3wJoCx5dUnySB6zYn2HT1XBVUJ,137.66%,0s,$0.00,"$41,024.57",?,['photon'],0.02,https://gmgn.ai/sol/address/GbgDhshF6gXmheTfYU3wJoCx5dUnySB6zYn2HT1XBVUJ,0
GjBhR6AY2h8d9rg3xrnQpSYRgK57eAnJs8agYFCkA1qM,-17.43%,568.75h,"$-8,454.46","$65,530.37",50.00%,[],0.68,https://gmgn.ai/sol/address/GjBhR6AY2h8d9rg3xrnQpSYRgK57eAnJs8agYFCkA1qM,16
GnjUARqXzrCecVG6fwZ3bc322TZN435tR8Erjz4oKDM7,3.56%,56.07h,"$39,072.59","$72,921.40",83.33%,[],2.89,https://gmgn.ai/sol/address/GnjUARqXzrCecVG6fwZ3bc322TZN435tR8Erjz4oKDM7,84
H2kgbkFmVgE4LSxxxqaYcV7pUpcuUHqUS85rqqXv4hM,61.66%,0s,$0.00,"$167,528.07",?,[],0.00,https://gmgn.ai/sol/address/H2kgbkFmVgE4LSxxxqaYcV7pUpcuUHqUS85rqqXv4hM,0
HWFbuvqsGAr6kc9ANe94TihjetQD4Jpp36pSrwDG7hDn,0.34%,5.13h,"$12,790.91","$29,159.52",55.56%,[],0.94,https://gmgn.ai/sol/address/HWFbuvqsGAr6kc9ANe94TihjetQD4Jpp36pSrwDG7hDn,182
Hp9JwYEY4iN3Hx58mDXqpvYdnRodrTuWxDba1Po6GGd4,0.70%,17.85h,"$9,476.92","$17,058.98",66.67%,[],0.57,https://gmgn.ai/sol/address/Hp9JwYEY4iN3Hx58mDXqpvYdnRodrTuWxDba1Po6GGd4,66
HvsLBDgdyuLjth3DbvYNYdwwGD8RLUKe5JiGSX6Esycm,24.87%,?,$0.00,"$44,827.47",?,[],0.00,https://gmgn.ai/sol/address/HvsLBDgdyuLjth3DbvYNYdwwGD8RLUKe5JiGSX6Esycm,0
JAUz45JuVbQfFmh3ZV9KGLkXcfjAhDeoZHF9Re59hrr2,4.85%,14.00h,"$15,141.78","$59,439.25",69.23%,[],15.23,https://gmgn.ai/sol/address/JAUz45JuVbQfFmh3ZV9KGLkXcfjAhDeoZHF9Re59hrr2,158
JCyv3o8oQKfHg4LjXSsC9xnsrYJMioi24Z3bL46LqG5r,15.43%,5.85m,"$4,514.54","$31,831.71",57.78%,['pepeboost'],129.92,https://gmgn.ai/sol/address/JCyv3o8oQKfHg4LjXSsC9xnsrYJMioi24Z3bL46LqG5r,113
K27kZNq1P9a7A9HMSrkcwzLD7maN2S4VjhZW1ZSAvaG,-13.15%,0s,$0.00,"$2,273.21",?,[],1.58,https://gmgn.ai/sol/address/K27kZNq1P9a7A9HMSrkcwzLD7maN2S4VjhZW1ZSAvaG,0
RqtxGRpQQ28Ky6Cgvas5rDuQMTd8QDJkvnxw9X95Dxt,-1.13%,?,"$-8,537.40","$15,087.36",?,[],0.83,https://gmgn.ai/sol/address/RqtxGRpQQ28Ky6Cgvas5rDuQMTd8QDJkvnxw9X95Dxt,36
WhGNgv4pxSp7k6LujDjQcRjCZ8cbaFcUsJ3PR6bx6Ci,19.24%,113.73h,"$2,897.72","$-2,317.40",75.00%,[],1.04,https://gmgn.ai/sol/address/WhGNgv4pxSp7k6LujDjQcRjCZ8cbaFcUsJ3PR6bx6Ci,60
cartidEtrnN7FhHrspqCDXLrasdScawknUPpTE87GQr,10.30%,3.61h,"$34,684.83","$89,429.39",76.09%,['axiom'],196.32,https://gmgn.ai/sol/address/cartidEtrnN7FhHrspqCDXLrasdScawknUPpTE87GQr,191
jppr32odkwpuWuxoPh7qaXyUGgiRqXj95sRTTNNiFq6,35.99%,11.82h,$334.13,"$27,952.43",70.59%,"['axiom', 'photon', 'bullx']",51.55,https://gmgn.ai/sol/address/jppr32odkwpuWuxoPh7qaXyUGgiRqXj95sRTTNNiFq6,48
kurac4r6HemWDzKatGPYFtKY8fkCeKZx19Ron9YWwpg,45.59%,27.08h,$52.80,"$48,482.50",57.14%,"['axiom', 'bullx']",91.29,https://gmgn.ai/sol/address/kurac4r6HemWDzKatGPYFtKY8fkCeKZx19Ron9YWwpg,22
vekiMRoqv7sht6aZDRBqpLHniCUm8CYxHMc6jWnH462,50.38%,36.03h,$804.23,"$23,453.37",50.00%,['axiom'],74.14,https://gmgn.ai/sol/address/vekiMRoqv7sht6aZDRBqpLHniCUm8CYxHMc6jWnH462,17
