Identifier,totalProfitPercent,averageHoldingMins,7dUSDProfit,30dUSDProfit,winrate_7d,tags,sol_balance,directLink,buy_7d
4C2dpRtw5yDxtfgymnS5smrvuYXpdktcZX5Qv92DqxsK,20.45%,84.22h,"$-48,050.29","$-78,156.84",0.00%,[],500.47,https://gmgn.ai/sol/address/4C2dpRtw5yDxtfgymnS5smrvuYXpdktcZX5Qv92DqxsK,38
4J54atPc5YU48PXBTfjhQRV9bhkL4eYA8ocBmMkERoNq,51.89%,140.71h,$0.00,"$26,101.45",?,[],17.53,https://gmgn.ai/sol/address/4J54atPc5YU48PXBTfjhQRV9bhkL4eYA8ocBmMkERoNq,4
4KbfjKKT8t8qDciVD4gEtCnZYgd4piaK3Rw7bA4HNwQq,29.15%,8.50m,$-139.55,"$139,893.67",0.00%,['photon'],326.94,https://gmgn.ai/sol/address/4KbfjKKT8t8qDciVD4gEtCnZYgd4piaK3Rw7bA4HNwQq,2
4QbY1NVR26zzT5AGkZvsEaR9mK1AsnzEts4gGquoWy4P,0.52%,151.68h,"$23,829.07","$15,359.33",100.00%,[],0.61,https://gmgn.ai/sol/address/4QbY1NVR26zzT5AGkZvsEaR9mK1AsnzEts4gGquoWy4P,22
4LNd7ZpgMgnJAStdXvUj7bF2W99svddKPZErK1m1frWc,26.13%,232.38h,"$5,606.39","$10,823.20",100.00%,[],0.17,https://gmgn.ai/sol/address/4LNd7ZpgMgnJAStdXvUj7bF2W99svddKPZErK1m1frWc,2
4VQUEnpppGQ1g7PKWV5HH4khSXETc4qKFHX2JSeh5fPy,84.94%,0s,$0.00,"$35,763.34",?,['axiom'],0.00,https://gmgn.ai/sol/address/4VQUEnpppGQ1g7PKWV5HH4khSXETc4qKFHX2JSeh5fPy,0
5AhsxW313vh2wjGE77bqaS1byes7nz7nL9PBVULVG8oK,49.01%,0s,$0.00,"$96,203.52",?,[],0.00,https://gmgn.ai/sol/address/5AhsxW313vh2wjGE77bqaS1byes7nz7nL9PBVULVG8oK,0
57XPStCQKWVA7FDGvvuAN1MMvidmgyEBZSCqqgmGfi87,18.42%,54.02h,"$-4,502.12","$-24,741.14",40.00%,[],2.98,https://gmgn.ai/sol/address/57XPStCQKWVA7FDGvvuAN1MMvidmgyEBZSCqqgmGfi87,52
5Fsoa9uojwFDhcGZEnJJwMPRiweVxYVDXd4AFS4g2zfz,177.00%,?,$-161.08,"$58,541.24",?,[],0.00,https://gmgn.ai/sol/address/5Fsoa9uojwFDhcGZEnJJwMPRiweVxYVDXd4AFS4g2zfz,21
5HG1of2AWMDHgNKH2dWdHfZQXcc5SYSZgtEHwjYuZ5dn,45.67%,?,$0.00,"$46,188.34",?,[],0.00,https://gmgn.ai/sol/address/5HG1of2AWMDHgNKH2dWdHfZQXcc5SYSZgtEHwjYuZ5dn,0
5QarkrtzaTKMDb2pspCgYqFyWbdiVqJcsxEC3YZcMidL,0.87%,29.10h,"$1,749.69","$13,770.41",100.00%,[],0.34,https://gmgn.ai/sol/address/5QarkrtzaTKMDb2pspCgYqFyWbdiVqJcsxEC3YZcMidL,78
5SvXwNY6smxQnHmD3N1Cs2MqHfgNwH2H9ArN5TWcf7Uy,3.86%,0s,$0.00,"$-24,053.36",0.00%,[],0.16,https://gmgn.ai/sol/address/5SvXwNY6smxQnHmD3N1Cs2MqHfgNwH2H9ArN5TWcf7Uy,0
5dUpnJAQbbaT3ybJBeZuEBJP6jMxdcJv1HwHStZ5AG3g,2161.54%,?,$0.00,"$88,160.80",?,[],0.00,https://gmgn.ai/sol/address/5dUpnJAQbbaT3ybJBeZuEBJP6jMxdcJv1HwHStZ5AG3g,0
5dd3zjBQQvQqtmWF67nR6XaRKe79cYu4fP6LFXZ1YRR9,16.32%,142.59h,"$-2,044.22","$11,106.20",57.89%,['photon'],84.17,https://gmgn.ai/sol/address/5dd3zjBQQvQqtmWF67nR6XaRKe79cYu4fP6LFXZ1YRR9,31
5HPiZm7m5VxMHxj1Rxk5W9KiirkBhSt3xvczh3ELagUY,28.96%,29.18h,"$7,013.29","$58,713.60",75.00%,['axiom'],13.14,https://gmgn.ai/sol/address/5HPiZm7m5VxMHxj1Rxk5W9KiirkBhSt3xvczh3ELagUY,66
5hJuqvRd8cxVbiB85guoaxftzTMv5DSBPpLPPmFvzGYt,193.61%,0s,$0.00,"$2,318,392.65",?,[],0.00,https://gmgn.ai/sol/address/5hJuqvRd8cxVbiB85guoaxftzTMv5DSBPpLPPmFvzGYt,0
5mLD7CNEiPdxahKcAw2HMUfaX5L6fok5RNxRbFmSKyBX,49.11%,?,$0.00,"$55,602.24",?,['trojan'],0.00,https://gmgn.ai/sol/address/5mLD7CNEiPdxahKcAw2HMUfaX5L6fok5RNxRbFmSKyBX,0
5kV1MxKZd2cK7nJgUpxCdo9qwLeyLv4UzcCJLoGyEp7L,33.44%,446.17h,"$7,241.17","$30,544.54",69.57%,[],39.99,https://gmgn.ai/sol/address/5kV1MxKZd2cK7nJgUpxCdo9qwLeyLv4UzcCJLoGyEp7L,43
5ssWKg2uLUFPDqaig6LQuqD8wsHYEho9J8UhzSi7xu2h,127.97%,0s,$0.00,"$20,415.23",0.00%,['axiom'],51.29,https://gmgn.ai/sol/address/5ssWKg2uLUFPDqaig6LQuqD8wsHYEho9J8UhzSi7xu2h,0
5wndZMmZzydwLvhhGWcm2pwztDGv6qFcrhwbKjTGeJ4f,9.74%,0s,$0.00,"$14,759.85",?,[],5.01,https://gmgn.ai/sol/address/5wndZMmZzydwLvhhGWcm2pwztDGv6qFcrhwbKjTGeJ4f,0
5wvTQk7cb1i3Jed35ioFXQj7gzyk8kcLmEWy8mYj2wAg,6.49%,332.82h,"$29,754.95","$51,251.42",100.00%,[],155.34,https://gmgn.ai/sol/address/5wvTQk7cb1i3Jed35ioFXQj7gzyk8kcLmEWy8mYj2wAg,4
6686Y8MLLejcKzcZMx1axK4DTCMk9nz16y1wTJpLnCk5,37.75%,0s,$0.00,"$9,362.53",?,"['axiom', 'photon']",0.12,https://gmgn.ai/sol/address/6686Y8MLLejcKzcZMx1axK4DTCMk9nz16y1wTJpLnCk5,0
6AD2VyzAmxyCjq6eys4YfpBLzijVmxAzzdX1ScPYaL64,9.08%,1681.02h,$-267.87,"$14,633.89",46.15%,['bluechip_owner'],0.49,https://gmgn.ai/sol/address/6AD2VyzAmxyCjq6eys4YfpBLzijVmxAzzdX1ScPYaL64,19
6CMkP9HgoPcFYXKsSrWnDGLXoZTuaNXERJ91kd1hzWL9,92.63%,0s,$0.00,"$31,337.72",?,['trojan'],0.33,https://gmgn.ai/sol/address/6CMkP9HgoPcFYXKsSrWnDGLXoZTuaNXERJ91kd1hzWL9,0
6G4DANpG85JoPWYhG46yVZtQzn3Lwqo2rRdc9fW5TApL,22.80%,1.02h,"$3,123.75","$12,250.72",85.71%,['trojan'],5.57,https://gmgn.ai/sol/address/6G4DANpG85JoPWYhG46yVZtQzn3Lwqo2rRdc9fW5TApL,16
6UDyYZbt7WGiecGUTZcPxFARtGG6vKxxPgtSGpwuqkvA,27.93%,17.62h,"$5,461.97","$27,691.35",76.19%,['axiom'],140.95,https://gmgn.ai/sol/address/6UDyYZbt7WGiecGUTZcPxFARtGG6vKxxPgtSGpwuqkvA,26
6Y5qrdEqccNNXPy3TMuFb1uoEfJTcQLurSotGDB1u7mB,52.25%,48.73h,$0.00,"$26,139.79",?,[],36.46,https://gmgn.ai/sol/address/6Y5qrdEqccNNXPy3TMuFb1uoEfJTcQLurSotGDB1u7mB,2
6kD5Tfdo7Ci4mEqSPe9f9ZScdCk7na9RwLGQe96m7HhU,10.16%,216.36h,"$11,648.91","$4,013.70",75.00%,[],0.41,https://gmgn.ai/sol/address/6kD5Tfdo7Ci4mEqSPe9f9ZScdCk7na9RwLGQe96m7HhU,172
6oFzweyfCF1RCU4Xi65WbAUrW8S7u6wS1NEUooTcQkVn,56.14%,0s,$0.00,"$100,045.72",?,[],0.00,https://gmgn.ai/sol/address/6oFzweyfCF1RCU4Xi65WbAUrW8S7u6wS1NEUooTcQkVn,0
6YHcrghddkYMf6zu9vs8WtZkBUMBTEQvvSPVUEqnDYXf,22.24%,138.63h,"$56,478.65","$78,040.61",58.33%,"['axiom', 'gmgn']",163.81,https://gmgn.ai/sol/address/6YHcrghddkYMf6zu9vs8WtZkBUMBTEQvvSPVUEqnDYXf,15
6fh693i4cXwHfuy4FjkT8yMuxdGiGchGUs6k2L7sNmPU,2.53%,1.99m,"$3,857.17","$4,785.87",67.27%,"['axiom', 'bullx']",10.05,https://gmgn.ai/sol/address/6fh693i4cXwHfuy4FjkT8yMuxdGiGchGUs6k2L7sNmPU,143
6srqBeHmRHrUppik1F7vSfyWyRuHmhpQ13ZMpH2T7mVx,8.79%,12.33h,"$2,651.92","$24,775.16",57.69%,['photon'],0.48,https://gmgn.ai/sol/address/6srqBeHmRHrUppik1F7vSfyWyRuHmhpQ13ZMpH2T7mVx,72
